Scheme Name,Acronym,Nodal Ministry/Department,Primary Objective,Key Features & Benefits,Target Beneficiaries,Funding Structure,Official Link
Pradhan Mantri Kisan Samman Nidhi,PM-KISAN,Ministry of Agriculture & Farmers Welfare,To provide income support to all land-holding farmer families.,"Provides Rs. 6,000 per year in three equal installments.","All land-holding farmer families, subject to exclusions.",Central Sector Scheme (100% central government funding),[suspicious link removed]
Pradhan Mantri Fasal Bima Yojana,PMFBY,Ministry of Agriculture & Farmers Welfare,To provide crop insurance to farmers against crop loss due to unforeseen events.,Financial support for crop damage; stabilizes farmers' income.,Farmers growing notified crops.,Centrally Sponsored Scheme (Central and State governments share the premium subsidy),https://pmfby.gov.in/
Pradhan Mantri Kisan Maan-Dhan Yojana,PM-KMY,Ministry of Agriculture & Farmers Welfare,To provide a social security net and pension for small and marginal farmers in their old age.,"Provides a monthly pension of Rs. 3,000 after the age of 60.",Small and Marginal Farmers (SMFs) in the age group of 18-40.,Voluntary and Contributory Pension Scheme,https://pmkmy.gov.in/
Pradhan Mantri Krishi Sinchayee Yojana,PMKSY,Ministry of Agriculture & Farmers Welfare,To expand irrigation coverage and improve water use efficiency.,"""Per Drop More Crop"" component promotes micro-irrigation (drip and sprinkler).","Farmers across the country, particularly in dry regions.",Centrally Sponsored Scheme,https://pmksy.gov.in/
Agriculture Infrastructure Fund,AIF,Ministry of Agriculture & Farmers Welfare,To provide medium-to-long-term debt financing for post-harvest management projects.,"Financial assistance for building cold storage, warehouses, and other infrastructure.","Farmers, FPOs, PACS, and entrepreneurs.",Central Sector Scheme,https://agriinfra.dacnet.nic.in/
National Agriculture Market,e-NAM,Ministry of Agriculture & Farmers Welfare,To create a pan-India electronic trading portal for agricultural produce.,Provides farmers with a unified market for better price discovery.,Farmers registered on the e-NAM portal.,Central Sector Scheme,https://www.enam.gov.in/
Soil Health Card Scheme,SHCS,Ministry of Agriculture & Farmers Welfare,To provide farmers with a report on their soil's health and suggest nutrient management.,"Provides a Soil Health Card (SHC) every two years, promoting balanced fertilizer use.",All farmers across the country.,Central Sector Scheme,https://soilhealth.dac.gov.in/
Rashtriya Krishi Vikas Yojana,RKVY,Ministry of Agriculture & Farmers Welfare,To ensure a holistic development of the agriculture and allied sectors.,Supports various state-specific agricultural projects and initiatives.,State governments and farmers in participating states.,Centrally Sponsored Scheme,https://rkvy.nic.in/
National Food Security Mission,NFSM,Ministry of Agriculture & Farmers Welfare,"To increase the production of rice, wheat, pulses, and coarse cereals.","Promotes the use of high-yielding seeds, improved farming practices, and technology.",Farmers in identified districts.,Centrally Sponsored Scheme,https://nfsm.dacnet.nic.in/
National Mission on Edible Oils - Oil Palm,NMEO-OP,Ministry of Agriculture & Farmers Welfare,To boost domestic edible oil production and reduce import dependence.,Supports oil palm cultivation with financial assistance for planting material and processing units.,Farmers cultivating oil palm.,Centrally Sponsored Scheme,https://nmeo.gov.in/
National Mission on Natural Farming,NMNF,Ministry of Agriculture & Farmers Welfare,"To promote chemical-free, sustainable agriculture practices.",Provides financial assistance for organic and natural farming methods.,Farmers adopting natural farming.,Centrally Sponsored Scheme,https://naturalfarming.dac.gov.in/
Kisan Credit Card Scheme,KCC,Department of Financial Services (Ministry of Finance),To provide adequate and timely credit support to farmers from the banking sector.,Provides short-term loans for crop production and other related expenses.,"All farmers, including tenant farmers and sharecroppers.",Supported by financial institutions (banks),https://agriwelfare.gov.in/en/Kisan-Credit-Card-Scheme
Pradhan Mantri Annadata Aay SanraksHan Abhiyan,PM-AASHA,Ministry of Agriculture & Farmers Welfare,To ensure remunerative prices to farmers for their produce.,"Provides a safety net for farmers through Price Support Scheme (PSS), Price Deficiency Payment Scheme (PDPS), and Private Procurement & Stockist Scheme (PPSS).","Farmers growing notified crops like pulses, oilseeds, and copra.",Centrally Sponsored Scheme,https://agriwelfare.gov.in/
Paramparagat Krishi Vikas Yojana,PKVY,Ministry of Agriculture & Farmers Welfare,To promote organic farming in clusters.,"Provides financial assistance for organic farming certification, training, and marketing of produce.",Farmers who form a cluster and adopt organic farming practices.,Centrally Sponsored Scheme,https://pgsindia-ncof.gov.in/
National Mission on Agricultural Extension and Technology,NMAET,Ministry of Agriculture & Farmers Welfare,To strengthen agricultural extension systems and promote technology.,"Includes sub-missions on farm mechanization, agricultural extension, seeds, and plant protection.",Farmers and agricultural extension workers.,Centrally Sponsored Scheme,https://agriwelfare.gov.in/en/Schemes
National Livestock Mission,NLM,Department of Animal Husbandry & Dairying,To ensure the quantitative and qualitative improvement in livestock production systems.,"Supports animal husbandry, poultry farming, and sheep & goat breeding.","Farmers, entrepreneurs, and Self-Help Groups (SHGs) involved in livestock farming.",Centrally Sponsored Scheme,https://dahd.nic.in/schemes/schemes-programmes
Rashtriya Gokul Mission,RGM,Department of Animal Husbandry & Dairying,To conserve and develop indigenous bovine breeds.,Promotes indigenous cattle breeding and provides support for setting up breeding centers.,Farmers and breeders of indigenous cattle.,Central Sector Scheme,https://dahd.nic.in/schemes/rashtriya-gokul-mission
National Mission for Sustainable Agriculture,NMSA,Ministry of Agriculture & Farmers Welfare,"To enhance agricultural productivity, especially in rain-fed areas.","Focuses on integrated farming, water use efficiency, and soil health management.","Farmers, particularly in rain-fed and dryland regions.",Centrally Sponsored Scheme,https://agriwelfare.gov.in/en/Major
Pradhan Mantri Kisan Urja Suraksha Evam Utthan Mahabhiyan,PM-KUSUM,Ministry of New and Renewable Energy,To promote solar energy in the agriculture sector.,Supports the installation of solar pumps and grid-connected solar power plants on farmers' land.,Farmers for irrigation needs.,Central Sector Scheme with state contribution,https://mnre.gov.in/solar/pm-kusum
Mission for Integrated Development of Horticulture,MIDH,Ministry of Agriculture & Farmers Welfare,To promote the holistic growth of the horticulture sector.,"Provides support for planting material, cultivation, post-harvest management, and marketing of horticultural crops.",Farmers involved in horticulture.,Centrally Sponsored Scheme,https://midh.gov.in/
Dairy Entrepreneurship Development Scheme,DEDS,"NABARD, Department of Animal Husbandry & Dairying",To generate self-employment and provide infrastructure for the dairy sector.,"Provides financial assistance for setting up small dairy farms, mini-dairy units, and milk processing infrastructure.","Farmers, individual entrepreneurs, NGOs, and cooperatives.","Implemented through NABARD, Central Government subsidy",https://www.nabard.org/
Agriculture Skill Council of India,ASCI,Ministry of Skill Development & Entrepreneurship,To bridge the skill gap in the agriculture sector.,Provides skill development training programs for farmers and agricultural workers.,"Farmers, rural youth, and farm laborers.",Public-Private Partnership (PPP) model,https://www.asci-india.com/
National Bee-Keeping and Honey Mission,NBHM,Ministry of Agriculture & Farmers Welfare,To promote scientific bee-keeping and honey production.,"Provides support for setting up apiaries, training, and marketing of bee products.","Farmers, beekeepers, and entrepreneurs.",Central Sector Scheme,https://nbhm.gov.in/
Agri-Clinics and Agri-Business Centres Scheme,ACABC,"Ministry of Agriculture & Farmers Welfare, NABARD",To provide extension services and support for agri-businesses.,Provides training and credit facilities to agricultural graduates to establish their own agri-ventures.,Unemployed agricultural graduates.,Supported by NABARD and commercial banks.,https://www.agriclinics.net/
